forestry_intensity,replicate,final_reserve_dependency,final_mean_forage
0.2,0,0.8,0.9923500000000003
0.2,1,0.9333333333333333,0.9921875000000003
0.2,2,0.9333333333333333,0.9902750000000002
0.2,3,0.9666666666666666,0.9899875000000004
0.2,4,0.9,0.9910000000000002
0.2,5,0.9666666666666666,0.9901500000000002
0.2,6,0.9,0.9915250000000002
0.2,7,0.9333333333333333,0.9911125000000004
0.2,8,0.9,0.9910750000000004
0.2,9,0.9333333333333333,0.9897875000000003
0.5,0,0.7666666666666667,0.9927875000000002
0.5,1,0.6666666666666667,0.9937625000000001
0.5,2,0.6666666666666667,0.9940750000000002
0.5,3,0.7333333333333333,0.9932500000000001
0.5,4,0.6333333333333332,0.9930500000000002
0.5,5,0.7666666666666667,0.9931875
0.5,6,0.5,0.9942
0.5,7,0.6333333333333332,0.9935500000000002
0.5,8,0.5666666666666667,0.9941500000000001
0.5,9,0.5999999999999999,0.993525
0.8,0,0.6333333333333332,0.9894750000000002
0.8,1,0.26999999999999996,0.9743925000000002
0.8,2,0.5666666666666667,0.9861125000000002
0.8,3,0.4,0.9889125000000002
0.8,4,0.4,0.9936875000000003
0.8,5,0.4666666666666667,0.9889250000000003
0.8,6,0.5666666666666667,0.9795400000000003
0.8,7,0.5999999999999999,0.9888999999999999
0.8,8,0.5999999999999999,0.9881375
0.8,9,0.5999999999999999,0.9871125000000001
